id,barangay_id,name,type,city,province,region,,,,,,
1,1,Barangay 1,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
2,2,Barangay 2,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
3,3,Barangay 3,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
4,4,Barangay 4,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
5,5,Barangay 5,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
6,6,Barangay 6,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
7,7,Barangay 7,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
8,8,Barangay 8,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
9,9,Barangay 9,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
10,10,Barangay 10,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
11,11,Barangay 11,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
12,12,Barangay 12,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
13,13,Barangay 13,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
14,14,Barangay 14,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
15,15,Barangay 15,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
16,16,Barangay 16,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
17,17,Barangay 17,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
18,18,Barangay 18,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
19,19,Barangay 19,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
20,20,Barangay 20,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
21,21,Barangay 25,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
22,22,Barangay 26,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
23,23,Barangay 28,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
24,24,Barangay 29,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
25,25,Barangay 30,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
26,26,Barangay 31,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
27,27,Barangay 32,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
28,28,Barangay 33,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
29,29,Barangay 34,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
30,30,Barangay 35,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
31,31,Barangay 36,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
32,32,Barangay 37,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
33,33,Barangay 38,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
34,34,Barangay 39,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
35,35,Barangay 41,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
36,36,Barangay 42,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
37,37,Barangay 43,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
38,38,Barangay 44,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
39,39,Barangay 45,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
40,40,Barangay 46,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
41,41,Barangay 47,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
42,42,Barangay 48,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
43,43,Barangay 49,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
44,44,Barangay 50,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
45,45,Barangay 51,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
46,46,Barangay 52,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
47,47,Barangay 53,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
48,48,Barangay 54,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
49,49,Barangay 55,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
50,50,Barangay 56,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
51,51,Barangay 57,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
52,52,Barangay 58,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
53,53,Barangay 59,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
54,54,Barangay 60,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
55,55,Barangay 61,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
56,56,Barangay 62,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
57,57,Barangay 63,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
58,58,Barangay 64,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
59,59,Barangay 65,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
60,60,Barangay 66,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
61,61,Barangay 67,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
62,62,Barangay 68,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
63,63,Barangay 69,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
64,64,Barangay 70,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
65,65,Barangay 71,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
66,66,Barangay 72,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
67,67,Barangay 73,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
68,68,Barangay 74,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
69,69,Barangay 75,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
70,70,Barangay 76,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
71,71,Barangay 77,Urban,TONDO I / II,NCR CITY OF MANILA,NCR - National Capital Region,,,,,,
