id;code;name;address;region;province;city;barangay;zip;landline;cellphone;fax;email;email2;website;ownership;type;status
1;DOH000000000000001;PIDDIG DISTRICT HOSPITAL;Brgy. 2 Anao;Region 1;ILOCOS NORTE;PIDDIG;ANAO (POB.);2912;;-;-;;;;Government;Hospital;Active
2;DOH000000000000002;CEBU CITY MEDICAL CENTER;Panganiban St. Natalio Bacalso Ave.;Region 7;CEBU;CEBU CITY (Capital);;;(032)2557141;;(032)2531778;;;;Government;Hospital;Active
3;DOH000000000000003;DON LEOVIGILDO DIAPO SR. MUNICIPAL HOSPITAL;;Region 6;AKLAN;MADALAG;;;;;;;;;Government;Hospital;Active
4;DOH000000000000004;LABASON DISTRICT HOSPITAL;Labason,Zamboanga del Norte;Region 9;ZAMBOANGA DEL NORTE;LABASON;LA UNION;;9182497291;9274455171;;;;;Government;Hospital;Active
5;DOH000000000000005;BAGONG POOK DIST. III (DEL REMEDIO HC);;Region 4A;QUEZON;;;;;;;;;;Government;Rural Health Unit;Active
6;DOH000000000000006;IGPIT BARANGAY HEALTH STATION;;Region 11;DAVAO DEL SUR;CITY OF DIGOS (Capital);IGPIT;;;;;;;;Government;Barangay Health Station;Active
7;DOH000000000000007;LAUREN BARANGAY HEALTH STATION;;Region 1;PANGASINAN;UMINGAN;LAUREN;;;;;;;;Government;Barangay Health Station;Active
8;DOH000000000000008;LIMOT BARANGAY HEALTH STATION;Limot;Region 11;DAVAO ORIENTAL;TARRAGONA;LIMOT;;;;;;;;Government;Barangay Health Station;Active
9;DOH000000000000009;SAN ISIDRO BARANGAY HEALTH STATION;San Isidro;Region 11;DAVAO DEL SUR;HAGONOY;SAN ISIDRO;;;;;;;;Government;Barangay Health Station;Active
10;DOH000000000000010;URBIZTONDO RURAL HEALTH UNIT;Luna St.;Region 1;PANGASINAN;URBIZTONDO;POBLACION;2414;075-594-3919;;;;;;Government;Rural Health Unit;Active
11;DOH000000000000011;DILASAG RURAL HEALTH UNIT;;Region 3;AURORA;DILASAG;MASAGANA (POB.);;;;;;;;Government;Barangay Health Station;Active
12;DOH000000000000012;OUR LADY OF HOPE MEDICAL CLINIC AND HOSPITAL;Notre Dame Ave.;Region 12;SULTAN KUDARAT;ESPERANZA;;;064-2026058;;;;;;Private;Hospital;Active
13;DOH000000000000013;MURPHY SUPER HEALTH OFFICE;18th Avenue;NCR;NCR, SECOND DISTRICT (Not a Province);QUEZON CITY;SAN ROQUE;1109;none;none;none;;;;Government;Rural Health Unit;Active
14;DOH000000000000014;TOBIAS FORNIER (DAO) RURAL HEALTH UNIT;Tobias Fornier Poblacion;Region 6;ANTIQUE;TOBIAS FORNIER (DAO);POBLACION NORTE;5716;;9179501094;;;;;Government;Rural Health Unit;Active
15;DOH000000000000015;CALAPE RURAL HEALTH UNIT;;Region 7;BOHOL;CALAPE;;6328;038 507 9323;9197982297;;;;;Government;Rural Health Unit;Active
16;DOH000000000000016;DAGOHOY RURAL HEALTH UNIT;;Region 7;BOHOL;DAGOHOY;POBLACION;6322;(38)5240036;9202507527;;;;;Government;Rural Health Unit;Active
17;DOH000000000000017;CARAGA RURAL HEALTH UNIT;Caraga;Region 11;DAVAO ORIENTAL;CARAGA;POBLACION;8203;;;;;;;Government;Rural Health Unit;Active
18;DOH000000000000018;MATAG-OB RURAL HEALTH UNIT;;Region 8;LEYTE;MATAG-OB;SAN GUILLERMO;6532;(053) 5542074;9280000000;;;;;Government;Rural Health Unit;Active
19;DOH000000000000019;LA PAZ MUNICIPAL HOSPITAL;;CARAGA;AGUSAN DEL SUR;LA PAZ;;8528;;;;;;;Government;Hospital;Active
20;DOH000000000000020;SAN FELIPE RURAL HEALTH UNIT;;Region 3;ZAMBALES;SAN MARCELINO;SANTA FE;2203;(047)9134201;;;;;;Government;Rural Health Unit;Active
21;DOH000000000000021;BERNARDO HEALTH CENTER;Ermin Garcia St.;NCR;NCR, SECOND DISTRICT (Not a Province);QUEZON CITY;PINAGKAISAHAN;1109;none;9177577626;none;;;;Government;Rural Health Unit;Active
22;DOH000000000000022;SAUYO HEALTH CENTER;Greenville Subdivision;NCR;NCR, SECOND DISTRICT (Not a Province);QUEZON CITY;SAUYO;1116;453-2625;9217168188;none;;;;Government;Rural Health Unit;Active
23;DOH000000000000023;BANGUI DISTRICT HOSPITAL;;Region 1;ILOCOS NORTE;BANGUI;ABACA;2920;(077)6761158;9154546442;;;;;Government;Hospital;Active
24;DOH000000000000024;GERTES CLINIC AND HOSPITAL;100 Ventura St.;Region 1;ILOCOS NORTE;SAN NICOLAS;;2901;(077)773-2391;;(077)6706438;;;;Private;Hospital;Active
25;DOH000000000000025;MADDELA RURAL HEALTH UNIT;;Region 2;QUIRINO;MADDELA;POBLACION NORTE;;;;;;;;Government;Rural Health Unit;Active
