id;code;category;subcat;tricat;title
1;I;0;0;0;I Certain infectious and parasitic diseases
2;A00-A09;I;0;0;(A00-A09) Intestinal infectious diseases
3;A00;I;A00-A09;0;(A00) Cholera
4;A00.0;I;A00-A09;A00;(A00.0) Cholera due to Vibrio cholerae 01, biovar cholerae
5;A00.1;I;A00-A09;A00;(A00.1) Cholera due to Vibrio cholerae 01, biovar el tor
6;A00.9;I;A00-A09;A00;(A00.9) Cholera, unspecified
7;A01;I;A00-A09;0;(A01) Typhoid and paratyphoid fevers
8;A01.0;I;A00-A09;A01;(A01.0) Typhoid fever
9;A01.1;I;A00-A09;A01;(A01.1) Paratyphoid fever A
10;A01.2;I;A00-A09;A01;(A01.2) Paratyphoid fever B
11;A01.3;I;A00-A09;A01;(A01.3) Paratyphoid fever C
12;A01.4;I;A00-A09;A01;(A01.4) Paratyphoid fever, unspecified
13;A02;I;A00-A09;0;(A02) Other Salmonella infections
14;A02.0;I;A00-A09;A02;(A02.0) Salmonella gastro-enteritis
15;A02.1;I;A00-A09;A02;(A02.1) Salmonella septicaemia
16;A02.2;I;A00-A09;A02;(A02.2) Localised Salmonella infections
17;A02.8;I;A00-A09;A02;(A02.8) Other specified Salmonella infections
18;A02.9;I;A00-A09;A02;(A02.9) Salmonella infection, unspecified
19;A03;I;A00-A09;0;(A03) Shigellosis
20;A03.0;I;A00-A09;A03;(A03.0) Shigellosis due to Shigella dysenteriae
21;A03.1;I;A00-A09;A03;(A03.1) Shigellosis due to Shigella flexneri
22;A03.2;I;A00-A09;A03;(A03.2) Shigellosis due to Shigella boydii
23;A03.3;I;A00-A09;A03;(A03.3) Shigellosis due to Shigella sonnei
24;A03.8;I;A00-A09;A03;(A03.8) Other shigellosis
25;A03.9;I;A00-A09;A03;(A03.9) Shigellosis, unspecified
26;A04;I;A00-A09;0;(A04) Other bacterial intestinal infections
27;A04.0;I;A00-A09;A04;(A04.0) Enteropathogenic Escherichia coli infection
28;A04.1;I;A00-A09;A04;(A04.1) Enterotoxigenic Escherichia coli infection
29;A04.2;I;A00-A09;A04;(A04.2) Enteroinvasive Escherichia coli infection
30;A04.3;I;A00-A09;A04;(A04.3) Enterohaemorrhagic Escherichia coli infection
31;A04.4;I;A00-A09;A04;(A04.4) Other intestinal Escherichia coli infections
32;A04.5;I;A00-A09;A04;(A04.5) Campylobacter enteritis
33;A04.6;I;A00-A09;A04;(A04.6) Enteritis due to Yersinia enterocolitica
34;A04.7;I;A00-A09;A04;(A04.7) Enterocolitis due to Clostridium difficile
35;A04.8;I;A00-A09;A04;(A04.8) Other specified bacterial intestinal infections
36;A04.9;I;A00-A09;A04;(A04.9) Bacterial intestinal infection, unspecified
37;A05;I;A00-A09;0;(A05) Other bacterial foodborne intoxications
38;A05.0;I;A00-A09;A05;(A05.0) Foodborne staphylococcal intoxication
39;A05.1;I;A00-A09;A05;(A05.1) Botulism
