id;test_id;test_name;result_id;result;loinc_code;loinc_attribute;updated;method
1;12PTU;Protein, Total, 12 Hour, Urine;TM23;Collection Duration;13362-9;Collection duration:Time:*:Urine:Qn:;2012-03-12;Dye Binding (Pyrogallol Red)
2;12PTU;Protein, Total, 12 Hour, Urine;CONC1;Concentration;35663-4;Protein:MCnc:XXX:Urine:Qn:;2012-03-15;Dye Binding (Pyrogallol Red)
3;12PTU;Protein, Total, 12 Hour, Urine;VL21;Urine Volume;19153-6;Specimen volume:Vol:XXX:Urine:Qn:;2012-03-12;Dye Binding (Pyrogallol Red)
4;12PTU;Protein, Total, 12 Hour, Urine;TPU12;Protein, Total, 12 Hour, U;26801-1;Protein:MRat:12H:Urine:Qn:;2012-03-12;Dye Binding (Pyrogallol Red)
5;17BFP;Fluticasone 17-Beta-Carboxylic Acid, Urine;89739;Fluticasone 17-B Carboxylic Acid, U;46952-8;Fluticasone propionate:MCnc:Pt:Urine:Qn:;2009-11-13;Liquid Chromatography-Tandem Mass Spectrometry (LC-MS/MS)
6;17OHP;17-Hydroxypregnenolone, Serum;81151;17-Hydroxypregnenolone, S;6765-2;17-Hydroxypregnenolone:MCnc:Pt:Ser/Plas:Qn:;2011-06-24;Liquid Chromatography-Tandem Mass Spectrometry (LC-MS/MS)
7;19701;Biliary Tract Malignancy, FISH Only;19428;Addendum:;35265-8;Path report.addendum:Find:Pt:Specimen:Nar:;2009-11-13;Fluorescence In Situ Hybridization (FISH)
8;19701;Biliary Tract Malignancy, FISH Only;19429;Addendum Comment:;22638-1;Path report.comments:Imp:Pt:Specimen:Nar:;2009-11-13;Fluorescence In Situ Hybridization (FISH)
9;19701;Biliary Tract Malignancy, FISH Only;19421;Final Diagnosis:;34574-4;Path report.final diagnosis:Imp:Pt:Specimen:Nom:;2011-10-05;Fluorescence In Situ Hybridization (FISH)
10;19701;Biliary Tract Malignancy, FISH Only;19864;Specimen Description:;33511-7;Appearance:Aper:Pt:XXX:Nom:;2011-06-21;Fluorescence In Situ Hybridization (FISH)
11;19701;Biliary Tract Malignancy, FISH Only;19424;Signing Pathologist:;19139-5;Pathologist name:ID:Pt:Provider:Nom:;2013-08-08;Fluorescence In Situ Hybridization (FISH)
