regcode,provcode,citycode,bgycode,bgyname,nscb_brgy_code,nscb_brgy_name,brgy_long,brgy_lat,addedby,UserLevelID,dateupdated,status
01,0128,012801,012801001,ADAMS (POB.),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802001,BANI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802002,BUYON,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802003,CABARUAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802004,CABULALAAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802005,CABUSLIGAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802006,CADARATAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802007,CALIOET-LIBONG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802008,CASILIAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802009,COROCOR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802011,DURIPES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802012,GANAGAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802013,LIBTONG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802014,MACUPIT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802015,NAMBARAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802016,NATBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802017,PANINAAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802018,PASIOCAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802019,PASNGAL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802020,PIPIAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802021,PULANGI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802022,PUNGTO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802024,SAN AGUSTIN I (POB.),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802025,SAN AGUSTIN II (POB.),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802027,SAN ANDRES I (POB.),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802028,SAN ANDRES II (POB.),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802030,SAN GABRIEL I (POB.),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802031,SAN GABRIEL II (POB.),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802033,SAN PEDRO I (POB.),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802034,SAN PEDRO II (POB.),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802036,SAN ROQUE I (POB.),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802037,SAN ROQUE II (POB.),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802039,SAN SIMON I (POB.),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802040,SAN SIMON II (POB.),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802041,SAN VICENTE (POB.),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802042,SANGIL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802044,SANTA FILOMENA I (POB.),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802045,SANTA FILOMENA II (POB.),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802046,SANTA RITA (POB.),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802047,SANTO CRISTO I (POB.),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802048,SANTO CRISTO II (POB.),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802050,TAMBIDAO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802051,TEPPANG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,012802052,TUBBURAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012803,012803001,ALAY-NANGBABAAN (ALAY 15-B),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012803,012803002,ALOGOOG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012803,012803003,AR-ARUSIP,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012803,012803004,ARING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012803,012803005,BALBALDEZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012803,012803006,BATO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012803,012803007,CAMANGA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012803,012803008,CANAAN (POB.),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012803,012803009,CARAITAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012803,012803011,GABUT NORTE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012803,012803012,GABUT SUR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012803,012803013,GARRETA (POB.),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012803,012803016,LABUT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012803,012803017,LACUBEN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012803,012803018,LUBIGAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012803,012803020,MABUSAG NORTE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012803,012803021,MABUSAG SUR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012803,012803022,MADUPAYAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012803,012803023,MORONG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012803,012803025,NAGREBCAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012803,012803026,NAPU,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012803,012803027,LA VIRGEN MILAGROSA (PAGUETPET),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012803,012803028,PAGSANAHAN NORTE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012803,012803029,PAGSANAHAN SUR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012803,012803030,PALTIT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012803,012803031,PARANG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012803,012803032,PASUC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012803,012803034,SANTA CRUZ NORTE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012803,012803035,SANTA CRUZ SUR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012803,012803036,SAUD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012803,012803037,TUROD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012804,012804001,ABACA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012804,012804002,BACSIL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012804,012804003,BANBAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012804,012804004,BARUYEN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012804,012804005,DADAOR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012804,012804006,LANAO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012804,012804007,MALASIN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012804,012804008,MANAYON,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012804,012804009,MASIKIL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012804,012804010,NAGBALAGAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012804,012804011,PAYAC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012804,012804012,SAN LORENZO (POB.),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012804,012804013,SAN ISIDRO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012804,012804014,TAGUIPORO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012804,012804015,UTOL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012805,012805001,AGLIPAY (POB.),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012805,012805002,BAAY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012805,012805003,BALIGAT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012805,012805004,BUNGON,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012805,012805005,BAOA EAST,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012805,012805006,BAOA WEST,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012805,012805007,BARANI (POB.),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012805,012805009,BEN-AGAN (POB.),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012805,012805010,BIL-LOCA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012805,012805011,BININGAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012805,012805012,CALLAGUIP (POB.),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012805,012805013,CAMANDINGAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012805,012805014,CAMGUIDAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012805,012805015,CANGRUNAAN (POB.),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012805,012805016,CAPACUAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012805,012805017,CAUNAYAN (POB.),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012805,012805018,VALDEZ POB. (CAOAYAN),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012805,012805019,COLO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
