regcode,provcode,citycode,cityname,nscb_city_code,nscb_city_name,addedby,UserLevelID,dateupdated,status
01,0128,012801,ADAMS,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012802,BACARRA,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012803,BADOC,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012804,BANGUI,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012805,BATAC,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012806,BURGOS,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012807,CARASI,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012808,CURRIMAO,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012809,DINGRAS,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012810,DUMALNEG,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012811,BANNA (ESPIRITU),NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012812,LAOAG CITY (Capital),NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012813,MARCOS,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012814,NUEVA ERA,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012815,PAGUDPUD,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012816,PAOAY,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012817,PASUQUIN,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012818,PIDDIG,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012819,PINILI,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012820,SAN NICOLAS,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012821,SARRAT,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012822,SOLSONA,NULL,NULL,NULL,NULL,NULL,NULL
01,0128,012823,VINTAR,NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012901,ALILEM,NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012902,BANAYOYO,NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012903,BANTAY,NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012904,BURGOS,NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012905,CABUGAO,NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012906,CITY OF CANDON,NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012907,CAOAYAN,NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012908,CERVANTES,NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012909,GALIMUYOD,NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012910,GREGORIO DEL PILAR (CONCEPCION),NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012911,LIDLIDDA,NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012912,MAGSINGAL,NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012913,NAGBUKEL,NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012914,NARVACAN,NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012915,QUIRINO (ANGKAKI),NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012916,SALCEDO (BAUGEN),NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012917,SAN EMILIO,NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012918,SAN ESTEBAN,NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012919,SAN ILDEFONSO,NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012920,SAN JUAN (LAPOG),NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012921,SAN VICENTE,NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012922,SANTA,NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012923,SANTA CATALINA,NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012924,SANTA CRUZ,NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012925,SANTA LUCIA,NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012926,SANTA MARIA,NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012927,SANTIAGO,NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012928,SANTO DOMINGO,NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012929,SIGAY,NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012930,SINAIT,NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012931,SUGPON,NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012932,SUYO,NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012933,TAGUDIN,NULL,NULL,NULL,NULL,NULL,NULL
01,0129,012934,CITY OF VIGAN (Capital),NULL,NULL,NULL,NULL,NULL,NULL
01,0133,013301,AGOO,NULL,NULL,NULL,NULL,NULL,NULL
01,0133,013302,ARINGAY,NULL,NULL,NULL,NULL,NULL,NULL
01,0133,013303,BACNOTAN,NULL,NULL,NULL,NULL,NULL,NULL
01,0133,013304,BAGULIN,NULL,NULL,NULL,NULL,NULL,NULL
01,0133,013305,BALAOAN,NULL,NULL,NULL,NULL,NULL,NULL
01,0133,013306,BANGAR,NULL,NULL,NULL,NULL,NULL,NULL
01,0133,013307,BAUANG,NULL,NULL,NULL,NULL,NULL,NULL
01,0133,013308,BURGOS,NULL,NULL,NULL,NULL,NULL,NULL
01,0133,013309,CABA,NULL,NULL,NULL,NULL,NULL,NULL
