proc_code,proc_desc
10060,Incision and drainage of abscess (e.g., carbuncle, suppurative hidradenitis, cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia)
10080,Incision and drainage of pilonidal cyst
10120,Incision and removal of foreign body, subcutaneous tissues
10140,Incision and drainage of hematoma, seroma, or fluid collection
10160,Puncture aspiration of abscess, hematoma, bulla, or cyst
10180,Incision and drainage, complex, postoperative wound infection
11000,Debridement of extensive eczematous or infected skin
11010,Debridement including removal of foreign material associated w/ open fracture(s) and/or dislocation(s); skin and subcutaneous tissues
11011,Debridement including removal of foreign material associated w/ open fracture(s) and/or dislocation(s); skin, subcutaneous tissue, muscle fascia, and muscle
11012,Debridement including removal of foreign material associated w/ open fracture(s) and/or dislocation(s); skin, subcutaneous tissue, muscle fascia, muscle, and bone
11040,Debridement; skin, partial thickness
11041,Debridement; skin, full thickness
11042,Debridement; skin, and subcutaneous tissue
11043,Debridement; skin, subcutaneous tissue, and muscle
11044,Debridement; skin, subcutaneous tissue, muscle, and bone
11050,Paring or curettement of benign hyperkeratotic skin lesion w/ or w/o chemical cauterization (such as verrucae or clavi) not extending through the stratum corneum (e.g., callus or wart) w/ or w/o local anesthesia; single lesion
11051,Paring or curettement of benign hyperkeratotic skin lesion w/ or w/o chemical cauterization (such as verrucae or clavi) not extending through the stratum corneum (e.g., callus or wart) w/ or w/o local anesthesia; two to four lesions
11052,Paring or curettement of benign hyperkeratotic skin lesion w/ or w/o chemical cauterization (such as verrucae or clavi) not extending through the stratum corneum (e.g., callus or wart) w/ or w/o local anesthesia; more than four lesions
11100,Biopsy of skin, subcutaneous tissue and/or mucous membrane (including simple closure), unless otherwise listed; single or multiple lesion
11300,Shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter 0.5 cm or less
11301,Shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter 0.6 to 1.0 cm
11302,Shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter 1.1 to 2.0 cm
11303,Shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter over 2.0 cm
11305,Shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, genitalia; lesion diameter 0.5 cm or less
11306,Shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, genitalia; lesion diameter 0.6 to 1.0 cm
11307,Shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, genitalia; lesion diameter 1.1 to 2.0 cm
11308,Shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, genitalia; lesion diameter over 2.0 cm
11310,Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose ,lips, mucous membrane; lesion diameter 0.5 cm or less
11311,Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose ,lips, mucous membrane; lesion diameter 0.6 to 1.0 cm
11312,Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose ,lips, mucous membrane; lesion diameter 1.1 to 2.0 cm
11313,Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose ,lips, mucous membrane; lesion diameter over 2.0 cm
11400,Excision, benign lesion, except skin tag (unless listed elsewhere), trunk, arms or legs; lesion diameter 0.5 cm or less
11401,Excision, benign lesion, except skin tag (unless listed elsewhere), trunk, arms or legs; lesion diameter 0.6 to 1.0 cm
11402,Excision, benign lesion, except skin tag (unless listed elsewhere), trunk, arms or legs; lesion diameter 1.1 to 2.0 cm
11403,Excision, benign lesion, except skin tag (unless listed elsewhere), trunk, arms or legs; lesion diameter 2.1 to 3.0 cm
11404,Excision, benign lesion, except skin tag (unless listed elsewhere), trunk, arms or legs; lesion diameter 3.1 to 4.0 cm
11406,Excision, benign lesion, except skin tag (unless listed elsewhere), trunk, arms or legs; lesion diameter over 4.0 cm
11420,Excision, benign lesion, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; lesion diameter 0.5 cm or less
11421,Excision, benign lesion, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; lesion diameter 0.6 to 1.0 cm
11422,Excision, benign lesion, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; lesion diameter 1.1 to 2.0 cm
11423,Excision, benign lesion, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; lesion diameter 2.1 to 3.0 cm
11424,Excision, benign lesion, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; lesion diameter 3.1 to 4.0 cm
11426,Excision, benign lesion, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; lesion diameter over 4.0 cm
11440,Excision, other benign lesion (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 0.5 cm or less
11441,Excision, other benign lesion (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 0.6 to 1.0 cm
11442,Excision, other benign lesion (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 1.1 to 2.0 cm
11443,Excision, other benign lesion (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 2.1 to 3.0 cm
11444,Excision, other benign lesion (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 3.1 to 4.0 cm
11446,Excision, other benign lesion (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; lesion diameter over 4.0 cm
11450,Excision of skin and subcutaneous tissue for hidradenitis, axillary
11462,Excision of skin and subcutaneous tissue for hidradenitis, inguinal
11470,Excision of skin and subcutaneous tissue for hidradenitis, perianal, perineal or umbilical
11600,Excision, malignant lesion, trunk, arms, or legs; lesion diameter 0.5 cm or less
11601,Excision, malignant lesion, trunk, arms, or legs; lesion diameter 0.6 to 1.0 cm
11602,Excision, malignant lesion, trunk, arms, or legs; lesion diameter 1.1 to 2.0 cm
11603,Excision, malignant lesion, trunk, arms, or legs; lesion diameter 2.1 to 3.0 cm
11604,Excision, malignant lesion, trunk, arms, or legs; lesion diameter 3.1 to 4.0 cm
11606,Excision, malignant lesion, trunk, arms, or legs; lesion diameter over 4.0 cm
11620,Excision, malignant lesion, scalp, neck, hands, feet, genitalia; lesion diameter 0.5 cm or less
11621,Excision, malignant lesion, scalp, neck, hands, feet, genitalia; lesion diameter 0.6 to 1.0 cm
11622,Excision, malignant lesion, scalp, neck, hands, feet, genitalia; lesion diameter 1.1 to 2.0 cm
11623,Excision, malignant lesion, scalp, neck, hands, feet, genitalia; lesion diameter 2.1 to 3.0 cm
11624,Excision, malignant lesion, scalp, neck, hands, feet, genitalia; lesion diameter 3.1 to 4.0 cm
11626,Excision, malignant lesion, scalp, neck, hands, feet, genitalia; lesion diameter over 4.0 cm
11640,Excision, malignant lesion, face, ears, eyelids, nose, lips; lesion diameter 0.5 cm or less
11641,Excision, malignant lesion, face, ears, eyelids, nose, lips; lesion diameter 0.6 to 1.0 cm
11642,Excision, malignant lesion, face, ears, eyelids, nose, lips; lesion diameter 1.1 to 2.0 cm
11643,Excision, malignant lesion, face, ears, eyelids, nose, lips; lesion diameter 2.1 to 3.0 cm
