regcode,regshort,regname,regabbrev,nscb_reg_code,nscb_reg_name,UserLevelID,addedby,dateupdated,status
01,REGION 1,REGION I (ILOCOS REGION),NULL,NULL,NULL,NULL,NULL,NULL,NULL
02,REGION 2,REGION II (CAGAYAN VALLEY),NULL,NULL,NULL,NULL,NULL,NULL,NULL
03,REGION 3,REGION III (CENTRAL LUZON),NULL,NULL,NULL,NULL,NULL,NULL,NULL
04,REGION 4-A,REGION IV-A (CALABAR ZON),NULL,NULL,NULL,NULL,NULL,NULL,NULL
05,REGION 5,REGION V (BICOL REGION),NULL,NULL,NULL,NULL,NULL,NULL,NULL
06,REGION 6,REGION VI (WESTERN VISAYAS),NULL,NULL,NULL,NULL,NULL,NULL,NULL
07,REGION 7,REGION VII (CENTRAL VISAYAS),NULL,NULL,NULL,NULL,NULL,NULL,NULL
08,REGION 8,REGION VIII (EASTERN VISAYAS),NULL,NULL,NULL,NULL,NULL,NULL,NULL
09,REGION 9,REGION IX (ZAMBOANGA PENINSULA),NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,REGION 10,REGION X (NORTHERN MINDANAO),NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,REGION 11,REGION XI (DAVAO REGION),NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,REGION 12,REGION XII (SOCCSKSA RGEN),NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,NCR,NATIONAL CAPITAL REGION (NCR),NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,CAR,CORDILLERA ADMINISTRA TIVE REGION (CAR),NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,ARMM,AUTONOMO US REGION IN MUSLIM MINDANAO (ARMM),NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,REGION 8,REGION XIII (CARAGA),NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,REGION 4-B,REGION IV-B (MIMAROPA),NULL,NULL,NULL,NULL,NULL,NULL,NULL
